,닉네임,ID,내용,날짜,시간
83,𝓓𝓪𝓷𝓲𝓽𝔂녤콩콩,@DanielK_kong,"RT @stone4daniel_2: 🎥 강다니엘 영상 

210901 [2회 약자지목배틀 리액션캠] MC 강다니엘

🔗 출처 :  네이버TV 
https://t.co/IUVMjPzYu9 

🔗 출처 :  유튜브
https://t.co/PIYrhocg…",2021-09-02,08:11:12
84,엘뾰룩모먼트,@shinydank2,&lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/vvvESwdrSM,2021-09-02,08:11:07
85,𝓓𝓪𝓷𝓲𝓽𝔂녤콩콩,@DanielK_kong,RT @tequila70: 코로나로 방청객 출입이 불가능한 요즘 강다니엘은 함성과 추임새로 공백을 느낄 수 없도록 꽉꽉 채우고 있다. 소리를 지르고 대본을 던지며 온 몸으로. 배틀의 MC이자 배틀의 일부가 된 강다니엘. '스우파'란 바둑판에 올려진…,2021-09-02,08:11:03
86,매직보이,@magicboyniel,"RT @KarenKim01: [네이버 블로그]
'신의 한수'라 일컫는 강다니엘 &lt;스우파&gt;/[Vogue] 스우파 스테이지 위의 강다니엘  (기사)
https://t.co/g20RhKZY8K

#강다니엘 #KANGDANIEL @konnect_daniel…",2021-09-02,08:10:11
87,다녤송,@Dnlsong,"RT @tellmeniela: 강다니엘 스우파 직관캠 32x2종 재생목록리스트

약자지목배틀 1,2화 포함

리액션캠
https://t.co/IhBxjBEmVv

풀캠
https://t.co/pc3T6oPKER

무한반복 편하게 하려고 재생목록으로…",2021-09-02,08:09:27
88,양도,@needmoneyok82,"RT @needmoneyok82: 워너원 공식 팬키트 양도
케이스, 명찰 하자O 사진참고
일괄 택배비 포함 7000

워너원 굿즈 프로듀스101 윤지성 하성운 황민현 옹성우 김재환 강다니엘 박지훈 박우진 배진영 이대휘 라이관린 https://t.co…",2021-09-02,08:08:53
89,양도,@needmoneyok82,"워너원 공식 팬키트 양도
케이스, 명찰 하자O 사진참고
일괄 택배비 포함 7000

워너원 굿즈 프로듀스101 윤지성 하성운 황민현 옹성우 김재환 강다니엘 박지훈 박우진 배진영 이대휘 라이관린 https://t.co/TcjYholst9",2021-09-02,08:08:47
90,ghdl8326,@ghdl83261,"RT @daniel_arory: 기사좋네~~ 역시다 역시

[우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/HjpQS1PQZq

#강다니엘 #KANGDANIEL @konnect…",2021-09-02,08:08:44
91,니엘럽럽,@2HDZA6Y5hMnSqxS,"RT @ppotto_k_here: 스우파 2회 MC강다니엘 𝕣𝕖𝕒𝕕𝕪, 𝕗𝕚𝕘𝕙𝕥! 
레디파이트 속 렛츠파이트를 찾아보세요 🔍 https://t.co/dXaDiSeCUu",2021-09-02,08:08:30
92,🦖스릉흔드녜리_만병통치다녤_🖤,@cure_all_Daniel,"RT @niel_tyranno: &lt;스우파&gt; 스테이지 위의 강다니엘 
#강다니엘 #KangDaniel #스트릿우먼파이터 #스우파 #SWF @konnect_danielk

https://t.co/pd7ZIUaPER",2021-09-02,08:08:20
