,닉네임,ID,내용,날짜,시간
68,라케😷,@La___Ke_,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:28:01
69,Long hair.,@L0NG_hair,"@WH04R3Y0U2 Huh, 그렇게까지 해서 가질 가치는 없을텐데. 넌 인간도 아닌 게 참 전부터 돈에 예민하네. 그까짓게 뭐라고.",2021-09-02,08:27:54
70,소비에트 곰,@Kiz_Kami,RT @pastparticiple3: 다만 우리가 이런 문제들을 덜어 놓고 작품의 가치를 어떻게 측정하고 소비할 것인가에 대해서는 계속 고민할 필요가 있겠죠. 물론 그것을 그렇게 중요하고 진지하게 생각하는 분위기는 아닌 것 같습니다.,2021-09-02,08:27:51
71,소비에트 곰,@Kiz_Kami,"RT @pastparticiple3: 자칫 미술품이 그 자체로 가치를 지니지 못하는 상황을 드러내기 때문에 허무주의적으로 가거나, 작가 본인이 이름값을 높여서 작품 값을 띄워야겠다는 식의 자본주의적 기획으로 흘러가게 될 수도 있기 때문에 뭐... 조…",2021-09-02,08:27:48
72,소비에트 곰,@Kiz_Kami,"RT @pastparticiple3: 이건 사실 키펜베르거 본인의 의도가 잘 구현된 것 같습니다. '그림의 가격을 결정하는 것은 무엇인가?'에 대한 좋은 비판이었죠. 작가의 명성, 작품이 가지고 있는 오리지널리티 등등... 그것이 다른 작가의 작품으…",2021-09-02,08:27:46
73,유뱌뱌💃🏻,@lluvia_vl,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:27:39
74,놕누,@NaNuanim,RT @LoveSujunggong: 나는 선한사람이 보답받는게 좋아... 어째서 선의는 아무런 의미 없이 가치없는 종잇조각처럼 여겨지고 마냐고 좌절해서 우는 것보단 그래도 믿고 달려온 가치가 있었다고 울면서 만신창이로 웃는게좋아 ㅅㅂ,2021-09-02,08:27:25
75,희진 언니 아내이자 연경 언니 아내,@se_bn3,RT @urmyopposite_: 외모로 좋아할 수 있지 그리고 설령 좋아하게 된 이유 100퍼센트가 경기력이었어도 내 새끼 보듯이 다 예뻐보일 수 있지.. 그치만 대가리에 힘주고 예쁘다 잘생겼다 안 하려고 하는 이유는 여성 선수이기 때문임. 여자들…,2021-09-02,08:27:23
76,newsbot,@themedialab2,"2일 외환 마감...1달러 1160.35원, 0.1% 상승하며 상승세를 보이고 있다. 출처 : 더미디어랩 나는 인류에게 최소한 필요한 가치를 지향하려 합니다.",2021-09-02,08:27:16
77,추후 공지^^영,@aklickaway,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:27:15
78,No.4 달빛그랜다이저(문프님 무한지지),@ibkcoach17,"RT @sweetrain4you: 가치를 위해 이익을 포기할 수 있을지,
아니면,
이익을 위해 가치를 내려 놓아야 할 지,
어른이 되면 이런것이 고민이 될 줄 알았으나 아니었다. 선택이 아니라 본성의 문제라 오히려 간결했다.
오늘도 본능에 따라 한걸…",2021-09-02,08:26:53
79,siz-ming ⑉♥,@sizming,@HyoXae 가치할래????,2021-09-02,08:26:45
80,LS,@gjffoddlee,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:26:44
81,Coletta,@colettacolla,"어떤 가치 있는 행동을 하지 아니한 날, 그날은 잃은 날이다“.(자콥 보바트) https://t.co/zfcLmmTSkN",2021-09-02,08:26:38
